노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
0270,순천완주선,34.4000,35.226264997,127.440724920,240122.038257,292286.333768
0270,순천완주선,34.5000,35.227157596,127.440572544,240107.727087,292385.302463
0270,순천완주선,34.6000,35.228046720,127.440380283,240089.787033,292483.869425
0270,순천완주선,34.7000,35.228923383,127.440135080,240067.034011,292581.032603
0270,순천완주선,34.8000,35.229790616,127.439836237,240039.403028,292677.128022
0270,순천완주선,34.9000,35.230644509,127.439484936,240007.003803,292771.722375
0270,순천완주선,35.0000,35.231482927,127.439082054,239969.917330,292864.579222
0270,순천완주선,35.1000,35.232303774,127.438628596,239928.236292,292955.466475
0270,순천완주선,35.2000,35.233104998,127.438125695,239882.064874,293044.156954
0270,순천완주선,35.3000,35.233884597,127.437574609,239831.518803,293130.429184
0270,순천완주선,35.4000,35.234653014,127.437000442,239778.878024,293215.451725
0270,순천완주선,35.5000,35.235414359,127.436412212,239724.961628,293299.684510
0270,순천완주선,35.6000,35.236182769,127.435838021,239672.320652,293384.706937
0270,순천완주선,35.7000,35.236951176,127.435263818,239619.679676,293469.729354
0270,순천완주선,35.8000,35.237719580,127.434689605,239567.038700,293554.751771
0270,순천완주선,35.9000,35.238487981,127.434115382,239514.397724,293639.774198
0270,순천완주선,36.0000,35.239255679,127.433539761,239461.630910,293724.718259
0270,순천완주선,36.1000,35.240006864,127.432932969,239406.035834,293807.818303
0270,순천완주선,36.2000,35.240711797,127.432249100,239343.448475,293885.756613
0270,순천완주선,36.3000,35.241357194,127.431482859,239273.393308,293957.057576
0270,순천완주선,36.4000,35.241936604,127.430641896,239196.569903,294021.008487
0270,순천완주선,36.5000,35.242444235,127.429734615,239113.745867,294076.970366
0270,순천완주선,36.6000,35.242875500,127.428770375,239025.775196,294124.438127
0270,순천완주선,36.7000,35.243247672,127.427769850,238934.531001,294165.336428
0270,순천완주선,36.8000,35.243606435,127.426761970,238842.624706,294204.744915
0270,순천완주선,36.9000,35.244010071,127.425779779,238753.035876,294249.143034
0270,순천완주선,37.0000,35.244485446,127.424846872,238667.899626,294301.520249
0270,순천완주선,37.1000,35.245034845,127.423976463,238588.417697,294362.135244
0270,순천완주선,37.2000,35.245652779,127.423177250,238515.384257,294430.382366
