"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"서구","내국인-계[명]","명","303510","307155","304048","299936","295601","292538",
"서구","내국인-남자[명]","명","150014","151698","150450","148047","145929","144078",
"서구","내국인-여자[명]","명","153496","155457","153598","151889","149672","148460",
"서구","외국인-계[명]","명","2002","2021","2006","2253","2432","2316",
"서구","외국인-남자[명]","명","996","963","921","1062","1138","1000",
"서구","외국인-여자[명]","명","1006","1058","1085","1191","1294","1316",
"서구","가구-계[가구]","가구","118970","121493","122837","122667","123669","124973",
"서구","일반가구[가구]","가구","118202","120798","122103","121889","122889","124204",
"서구","집단가구[가구]","가구","69","41","50","56","56","52",
"서구","외국인가구[가구]","가구","699","654","684","722","724","717",
"서구","주택-계[호]","호","97973","101978","103503","104649","105064","106173",
"서구","단독주택[호]","호","14562","14272","14272","14140","14035","13935",
"서구","아파트[호]","호","79993","84021","85485","86609","87006","88118",
"서구","연립주택[호]","호","1065","1142","1162","1328","1413","1489",
"서구","다세대주택[호]","호","1519","1550","1550","1540","1559","1583",
"서구","비거주용 건물내 주택[호]","호","834","993","1034","1032","1051","1048",
"서구","주택이외의 거처[호]","호","3545","3801","4512","4621","4875","4833",
"남구","총인구[명]","명","221759","220733","219256","217345","217972","214860",
"남구","남자[명]","명","107673","106966","106202","105079","105267","103479",
"남구","여자[명]","명","114086","113767","113054","112266","112705","111381",
"남구","내국인-계[명]","명","220222","219105","217638","215519","215820","212832",
"남구","내국인-남자[명]","명","107016","106297","105561","104369","104374","102693",
"남구","내국인-여자[명]","명","113206","112808","112077","111150","111446","110139",
"남구","외국인-계[명]","명","1537","1628","1618","1826","2152","2028",
"남구","외국인-남자[명]","명","657","669","641","710","893","786",
"남구","외국인-여자[명]","명","880","959","977","1116","1259","1242",
"남구","가구-계[가구]","가구","83918","84311","84836","85021","86624","87579",
"남구","일반가구[가구]","가구","83484","83897","84399","84578","86172","87098",
"남구","집단가구[가구]","가구","55","55","63","49","51","55",
"남구","외국인가구[가구]","가구","379","359","374","394","401","426",
"남구","주택-계[호]","호","73586","74729","75784","76688","80261","80737",
"남구","단독주택[호]","호","17078","16961","16661","16369","15822","15551",
"남구","아파트[호]","호","53153","54210","55541","56746","60858","61467",
"남구","연립주택[호]","호","1313","1496","1483","1481","1484","1555",
"남구","다세대주택[호]","호","1224","1245","1236","1236","1254","1287",
"남구","비거주용 건물내 주택[호]","호","818","817","863","856","843","877",
"남구","주택이외의 거처[호]","호","1019","973","1511","1417","1364","1447",
"북구","총인구[명]","명","459715","453155","450323","450023","446661","439352",
"북구","남자[명]","명","229791","226055","224448","224400","222727","218672",
"북구","여자[명]","명","229924","227100","225875","225623","223934","220680",
"북구","내국인-계[명]","명","454835","447948","444731","443928","439737","433239",
"북구","내국인-남자[명]","명","227434","223576","221759","221455","219360","215775",
"북구","내국인-여자[명]","명","227401","224372","222972","222473","220377","217464",
"북구","외국인-계[명]","명","4880","5207","5592","6095","6924","6113",
"북구","외국인-남자[명]","명","2357","2479","2689","2945","3367","2897",
"북구","외국인-여자[명]","명","2523","2728","2903","3150","3557","3216",
"북구","가구-계[가구]","가구","178485","175279","176793","178763","180639","183018",
"북구","일반가구[가구]","가구","177056","173862","175203","177427","178759","181167",
"북구","집단가구[가구]","가구","109","81","97","100","109","103",
"북구","외국인가구[가구]","가구","1320","1336","1493","1236","1771","1748",
"북구","주택-계[호]","호","149640","150634","154667","158154","159349","162768",
"북구","단독주택[호]","호","25204","25123","24970","24416","23603","22958",
"북구","아파트[호]","호","117517","118575","122601","126669","128621","132331",
"북구","연립주택[호]","호","2157","2154","2189","2188","2307","2615",
"북구","다세대주택[호]","호","2682","2720","2753","2757","2686","2775",
"북구","비거주용 건물내 주택[호]","호","2080","2062","2154","2124","2132","2089",
"북구","주택이외의 거처[호]","호","2628","2690","2970","3037","3288","3275",
"광산구","총인구[명]","명","411722","417200","419625","420665","423310","422502",
"광산구","남자[명]","명","208107","210858","212570","213198","214479","214101",
"광산구","여자[명]","명","203615","206342","207055","207467","208831","208401",
"광산구","내국인-계[명]","명","399963","403821","404357","403223","404105","404630",
"광산구","내국인-남자[명]","명","200612","202497","203090","202498","202855","203639",
"광산구","내국인-여자[명]","명","199351","201324","201267","200725","201250","200991",
"광산구","외국인-계[명]","명","11759","13379","15268","17442","19205","17872",
"광산구","외국인-남자[명]","명","7495","8361","9480","10700","11624","10462",
"광산구","외국인-여자[명]","명","4264","5018","5788","6742","7581","7410",
"광산구","가구-계[가구]","가구","147511","151062","154513","156103","159427","164553",
"광산구","일반가구[가구]","가구","144574","147467","150393","151510","154385","159360",
"광산구","집단가구[가구]","가구","141","119","130","145","147","130",
"광산구","외국인가구[가구]","가구","2796","3476","3990","4448","4895","5063",
"광산구","주택-계[호]","호","133260","134996","138251","140371","143848","148489",
"광산구","단독주택[호]","호","17920","17997","18135","18119","18014","18004",
"광산구","아파트[호]","호","111920","112869","115864","117790","120813","125299",
"광산구","연립주택[호]","호","1912","2600","2629","2764","3266","3392",
"광산구","다세대주택[호]","호","686","706","709","776","822","865",
"광산구","비거주용 건물내 주택[호]","호","822","824","914","922","933","929",
"광산구","주택이외의 거처[호]","호","1955","2604","2936","3003","3215","3921",
"대전광역시","총인구[명]","명","1538394","1535445","1525849","1511214","1498839","1488435",
"대전광역시","남자[명]","명","772243","770971","765718","758035","751585","744349",
"대전광역시","여자[명]","명","766151","764474","760131","753179","747254","744086",
"대전광역시","내국인-계[명]","명","1519314","1515758","1505315","1488356","1473692","1465507",
"대전광역시","내국인-남자[명]","명","763310","761749","756015","747076","739521","733852",
"대전광역시","내국인-여자[명]","명","756004","754009","749300","741280","734171","731655",
"대전광역시","외국인-계[명]","명","19080","19687","20534","22858","25147","22928",
"대전광역시","외국인-남자[명]","명","8933","9222","9703","10959","12064","10497",
"대전광역시","외국인-여자[명]","명","10147","10465","10831","11899","13083","12431",
"대전광역시","가구-계[가구]","가구","588395","596752","604490","608260","616363","639020",
"대전광역시","일반가구[가구]","가구","582504","590698","597736","602175","609043","631208",
"대전광역시","집단가구[가구]","가구","420","338","437","481","482","460",
"대전광역시","외국인가구[가구]","가구","5471","5716","6317","5604","6838","7352",
"대전광역시","주택-계[호]","호","468885","474193","479161","486764","492797","496875",
"대전광역시","단독주택[호]","호","81292","81384","81107","80885","80106","79189",
"대전광역시","아파트[호]","호","338250","343223","348033","355517","362190","367235",
"대전광역시","연립주택[호]","호","10068","10156","10208","10378","10470","10473",
"대전광역시","다세대주택[호]","호","34151","34413","34590","34764","34727","34684",
"대전광역시","비거주용 건물내 주택[호]","호","5124","5017","5223","5220","5304","5294",
"대전광역시","주택이외의 거처[호]","호","10676","10810","11942","11860","12247","13153",
"동구","총인구[명]","명","247975","243612","239752","237297","237273","232559",
"동구","남자[명]","명","125189","122826","121017","119833","119605","117184",
"동구","여자[명]","명","122786","120786","118735","117464","117668","115375",
"동구","내국인-계[명]","명","243881","239367","234986","231744","230735","227028",
"동구","내국인-남자[명]","명","123421","120993","118821","117144","116497","114602",
"동구","내국인-여자[명]","명","120460","118374","116165","114600","114238","112426",
"동구","외국인-계[명]","명","4094","4245","4766","5553","6538","5531",
"동구","외국인-남자[명]","명","1768","1833","2196","2689","3108","2582",
"동구","외국인-여자[명]","명","2326","2412","2570","2864","3430","2949",
"동구","가구-계[가구]","가구","101019","100167","100642","100706","102600","104650",
"동구","일반가구[가구]","가구","100111","99152","99302","99157","100718","102668",
